  PID TTY      STAT   TIME COMMAND
 1092 ?        S<     0:00 [iprt]
 1161 tty1     Ss+    0:00 /sbin/getty -8 38400 tty1
 1166 ?        Ssl    0:00 whoopsie
 1181 ?        SLsl   0:00 lightdm
 1195 ?        Sl     0:00 /usr/lib/accountsservice/accounts-daemon
 1222 ?        S      0:00 [kauditd]
 1264 ?        S<     0:00 [kworker/2:1H]
 1265 ?        S<     0:00 [kworker/1:1H]
 1307 ?        Sl     0:00 /usr/lib/upower/upowerd
 1402 ?        SNl    0:00 /usr/lib/rtkit/rtkit-daemon
 1492 ?        S<     0:00 [kworker/7:1H]
 1737 ?        Sl     0:00 /usr/lib/colord/colord
 1741 ?        S<l    0:00 /usr/bin/pulseaudio --start --log-target=syslog
 1837 ?        S      0:00 socat openssl-connect:192.168.82.5:789,cafile=/etc/epoptes/server.crt,interval=60,forever EXEC:bash -c \"exec -a epoptes-client sh\"
 1878 ?        Sl     0:00 /usr/lib/udisks2/udisksd --no-debug
 2056 ?        Ss     0:00 /usr/sbin/cupsd -f
 2059 ?        S      0:00 /usr/lib/cups/notifier/dbus dbus:// 
 2165 ?        S      0:00 [kworker/1:2]
 2270 tty7     Ssl+   0:22 /usr/bin/X -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
 2325 ?        Sl     0:00 lightdm --session-child 12 19
 2429 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
 2431 ?        Ss     0:00 init --user
 2496 ?        Ss     0:07 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-tM0Emc6E2i
 2507 ?        Ss     0:00 upstart-event-bridge
 2513 ?        Ss     0:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
 2519 ?        Ssl    0:14 /usr/bin/ibus-daemon --daemonize --xim
 2525 ?        Sl     0:01 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
 2531 ?        S      0:00 upstart-file-bridge --daemon --user
 2533 ?        Sl     0:00 /usr/lib/gvfs/gvfsd
 2538 ?        S      0:02 upstart-dbus-bridge --daemon --session --user --bus-name session
 2540 ?        S      0:00 upstart-dbus-bridge --daemon --system --user --bus-name system
 2548 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
